mincul_texto
Talleres y especialización
Talleres por el Día Mundial del Teatro 2022
“Guía PASE de arte + educación” para docentes de escuela
Encuentro del Programa de Artes en la Escuela PASE. Recuperar el contacto. Del 30 de junio al 3 de julio
NUEVAS MEDIDAS PARA LA REACTIVACIÓN DE LAS ARTES
"Ministerio de Cultura lanza convocatoria para participar en el MIC Factoría, Mercado de Industrias Creativas Europa-Latinoamérica"
"Clases virtuales de diseño de proyectos culturales para los Estímulos Económicos para las artes escénicas, artes visuales y la música 2021"
Conecta Emprende: Herramientas de gestión y comunicaciones para artistas
Programa III ENCUENTRO DE LA RED DE TEATROS DEL PERÚ
Talleres y especialización
LISTA DE SELECCIONADOS A TALLERES FAE-LIMA
Clases Virtuales programa CONECTA EMPRENDE 2020
TALLERES INTERNACIONALES del FAE Lima 2021
Encuentro Conecta 2020. Del 10 al 12 de diciembre
"ENCUENTRO DE ARTE Y CIUDADANIA. 2, 3 y 4 DE DICIEMBRE"
CONECTA EMPRENDE
PROGRAMA DE ARTES EN LA ESCUELA – PASE
Programa CONECTA 2020
Talleres y especialización
ENCUENTRO PASE – PROGRAMA DE ARTES EN LA ESCUELA
PROGRAMA DE ARTES EN LA ESCUELA – PASE
CONECTA EMPRENDE
RECORDATORIO CHARLA INFORMATIVA: CONOCE MAS SOBRE EL BONO FAMILIAR UNIVERSAL
Inscríbete a las charlas informativas regionales sobre las Líneas de apoyo para la cultura.
"Charlas dirigidas a colectivos culturales: sector escénicas, música y artes visuales"
Beneficios de la formalización con SUNARP: Dirigido a artistas
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2020
Talleres y especialización
TALLER DE CIANOTIPIA “HUELLAS SOLARES”
JORNADA PASE DICIEMBRE  2019
ENCUENTRO INTERNACIONAL DE ARTES ESCÉNICAS – IBERESCENA
TALLER: CREAR MI PORTAFOLIO ARTÍSTICO
[RECORDATORIO] PROGRAMA DE ARTES EN LA ESCUELA – PASE 2019
Programa Cuerda Firme: Circo Para Transformar
"Encuentro de Narradores Orales del PERÚ en el marco del Festival Internacional de Narración Oral del Perú: Todas las Palabras, Todas!"
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2019
Talleres y especialización
V Festival Internacional INDISCIPLINADOS
INVITACION Encuentro Conecta Trujillo 2019
RECORDATORIO ENCUENTRO CONECTA LIMA 2019
RECORDATORIO Taller Programa de Artes en la Escuela PASE. Este 21 de setiembre
Centro Cultural UDEP
Enseñanza del arte tradicional en la escuela. Programa de Artes en la Escuela PASE este 21 de setiembre
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2019
ENCUENTRO CONECTA LIMA 2019
Talleres y especialización
ENCUENTRO CONECTA LIMA 2019: revisa la lista de seleccionados
HERRAMIENTAS DE GESTIÓN PARA LAS ARTES ESCÉNICAS 
“PURA CALLE”: EXPERIENCIA DE SISTEMATIZACIÓN
Taller: “Apreciación y aplicación de herramientas de Cine Contemporáneo”
RECORDATORIO: Charla informativa y Taller de Formulación de Proyectos Artísticos
"Sobre humor, arte y sensibilidad: reseña sobre el taller de Catherine Meurisse, “Ilustración: Proyecto Creativo”"
CINE VIVENCIAL AMAZÓNICO
"Actividades del centro cultural UDEP recital, conversatorio y curso"
Talleres y especialización
"ACTIVIDADES DEL CENTRO CULTURAL UDEP: SEMINARIO, CURSO Y CICLO DE CINE “MI PELÍCULA FAVORITA”"
Corriente – Encuentro internacional de actores de la música
I ENCUENTRO DE LA RED DE TEATROS DEL PERÚ – Postula a las ayudas a la movilidad hasta el 17 de marzo
"PROGRAMA DE ARTES EN LA ESCUELA – PASE 2019. Sábado 23 de febrero. Taller “Alfabetización en audio, video y medios digitales para el aula”."
BRITÁNICO ofrecerá talleres para adultos dedicados a los amantes del arte en todas sus disciplinas
Talleres gratuitos de “Introducción al malabarismo” en el Ministerio de Cultura – 17 y 18 de diciembre.
"EL JAGLISTA – Espectáculo de malabarismo, magia y humor de Jonathan Sajoux para todo público – Miércoles 19 de diciembre – Ingreso libre."
"PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 15 de diciembre. Taller “Técnicas para no olvidar. Memoria, Arte y Educación” y clausura del PASE 2018"
Talleres y especialización
LA FÁBRICA DE HISTORIAS INICIACIÓN AL ARTE DEL RELATO
Taller Vive la Escena Escolar PUCP
"PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 17 de noviembre. Taller “Leer y observar. Apreciando el arte en los libros para niños, niñas y jóvenes”"
VII Foro de Comunicación 2018 “Gestión de proyectos escénicos: Festivales”
LLEGA EL DISEÑO FEST 2018 EN SU SEGUNDA EDICIÓN
DISFRUTA DE LOS “VIERNES LITERARIOS” GRACIAS A LA MUNICIPALIDAD DE LIMA
El BRITANICO inicia taller para promover el desarrollo de producciones escenicas de primer nivel
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 20 de octubre. Taller “EtnoIdentificArte: identificación étnica cultural a través del arte en el aula”.
Talleres y especialización
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 29 de setiembre. Taller “Dinámica teatral: transitando por distintos caminos escénicos”.
CONVOCATORIA DE PROYECTOS DE ARTES VISUALES 2019
TALLER DE HAIKU VISUAL EN EL CENTRO CULTURAL PERUANO JAPONÉS
Abren Taller de Escritura Creativa en Miraflores
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 23 de junio. Taller “Educación musical: de la metodología a la vivencia significativa”.
NUEVOS CURSOS DE OTOÑO 2018 EN EL CLUB DE TEATRO DE LIMA
CONTINÚAN LAS INSCRIPCIONES PARA LOS  CURSOS DE VERANO 2018 EN EL CLUB DE TEATRO DE LIMA
JORGE EINES OFRECERÁ TALLER EN LIMA
Talleres y especialización
ARTE CORPUS PRESENTA EL SEMINARIO – TALLER “EL SECRETO DE LOS LIBROS MARAVILLOSOS”
ARTE CORPUS INVITA A PARTICIPAR DEL “TALLER INTEGRAL DE ACUARELA”
TALLERES INTERNACIONALES del FAE Lima 2018
"ZUMO TE INVITA A PARTICIPAR DEL TALLER “Gestión, desarrollo y producción de proyectos musicales”"
MUNICIPALIDAD DE LIMA LANZA TALLERES MULTIDISCIPLINARIOS PARA REVALORAR EL PATRIMONIO CULTURAL DE LA CIUDAD DE LIMA
TALLERES DE ARTE: Súmale arte a tu verano!
TALLERES DE VERANO 2018 en El Centro Cultural El Olivar y en El Museo Marina Núñez del Prado de la Municipalidad de San Isidro
TALLERES DE VERANO 2018  Superhéroes creando mundos”  Centro Cultural de la Universidad Nacional de Ingeniería  Proyecto Esencia Vital
Talleres y especialización
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2017. Sábado 18 de noviembre de 9:00 am a 6:00 pm en el Ministerio de Cultura. Tema: Artes Escénicas.
VI ENCUENTRO INTERNACIONAL DE NARRADORES ORALES: BENDITA SEA LA PALABRA
“La Escuela Va al Cine”. Sesiones hasta el 17 de noviembre
Taller infantil “Ven a crear tu propio libro” con Viringo Cartonero
TALLER INTERNACIONAL GUIÓN DE CINE Y PUESTA EN ESCENA CON CLAUDIA LLOSA.
SELECCIONADOS AL TALLER “SOSTENIBILIDAD Y NUEVOS PÚBLICOS: CÓMO RE-PENSAR PROYECTOS PARA LAS ARTES ESCÉNICAS”.
FIAED Festival Internacional de Artes Escénicas por la Diversidad
"ENCUENTRO DE ARTE, CULTURA Y EDUCACIÓN 2 y 3 de junio en el Ministerio de Cultura"
Talleres y especialización
WORKSHOP DE INTERVENCIÓN CREATIVA DE OBJETOS ORGANIZADO POR ARTE MANIFIESTO ESTE 22 DE ABRIL A PARTIR DE LAS 9:00 A.M.
[NOTA DE PRENSA] SEMANA SANTA EN EL MUSEO DE LOS DESCALZOS.
"[TALLER]: CLOWN CON VALERIA ESCANDÓN. INSCRIPCIONES ABIERTAS, CUPOS LIMITADOS."
"[WORKSHOP] YUPANA INCA: INICIACIÓN EN LA MATEMÁTICA INCA. 25 DE MARZO, MIRAFLORES."
[Talleres de formación] Curso en el Centro Cultural de la Universidad de Piura “Música popular en Lima”. Inicio 22 de marzo.
[Talleres de formación] Curso en el Centro Cultural de la Universidad de Piura “Sentidos del cine: ¿Qué hay detrás de las imágenes?”. Inicio 21 de marzo.
[Talleres de formación] Curso en el Centro Cultural de la Universidad de Piura “Inteligencia emocional”. Inicio 20 de Marzo.
[Talleres de formación] Curso “Poesía europea moderna” en el Centro Cultural de la Universidad de Piura. Inicio 23 de marzo.
Talleres y especialización
TALLER DE PUBLICACION DIGITAL EN EL ICPNA DE MIRAFLORES. 11 AL 18 DE MARZO. REVISTA KAYPUNKU
[Resultados] HABITACIÓN PROPIA: TRES LECCIONES SOBRE LA AUTONOMÍA DEL ACTOR
Manual para Emprendedores Culturales se presentó en el segundo día del Encuentro CONECTA: Cultura y emprendimiento
[Resultados] TALLERES INTERNACIONALES DE ARTES ESCÉNICAS EN EL MARCO DEL FAE LIMA 2017
[Workshop] Iniciación en la Matemática Inka – Viernes 24 de febrero
TALLERES INTERNACIONALES DE ARTES ESCÉNICAS EN EL MARCO DEL FAE LIMA 2017.  Los talleres son de acceso libre previa postulación hasta el 19 de febrero.
"[Talleres] Hacer cosas con sonido, introducción al arte sonoro por Luis Alvarado"
[Talleres] Introducción a la poesía experimental por Luis Alvarado
Talleres y especialización
Convocatoria para el primero de los dos talleres que Gilbert Rouviere dictará en el CCUP. Hasta el 27 de enero
Taller de teatro para personas con discapacidad auditiva – 2017. Inicio 15 de enero
Conoce la programación de los Talleres de Artes Verano 2017 del Ministerio de Cultura
"“X Foro Internacional de Animación” en el Cairo, Egipto del 16 al 23 de febrero"
“IV ENCUENTRO INTERNACIONAL DE IMPROVISACIÓN POR CONTACTO AYNI – COOPERACIÓN Y RECIPROCIDAD” DEL 28 DE DICIEMBRE AL 06 DE ENERO – INSCRIPCIONES ABIERTAS
Difunden en Perú innovador método ruso de apreciación musical en niños: Mundo Mozart Perú.
Segundo Taller Regional Cuentas Satélite de Cultura
Charla Creativa : “Ilustración 360 con Mr. Tronch” el viernes 02 de diciembre
Talleres y especialización
Taller: “Electrónica en el arte y la interactividad”
PROGRAMA DE ARTES ESCÉNICAS EN LA ESCUELA – PASEE 2016. Sábado 26 de noviembre en el Colegio Melitón Carvajal (LINCE)
[Taller] Experimentar el Estado de Payaso – Asociación Cultural Hamuy Teatro
